,Fall 12,Fall 15,Nov 17,Fall 09,Spr 99,Updated,Format,Dec 17,Fall 04,Fall 05,Spr 06,Hol 17,Fall 11,Fall 07,Mar 18,Spr 09,Population,Spr 05,Spr 17,Fall 99,Spr 13,Spr 16,Station URL,Spr 15,Spr 04,Black,Fall 13,Feb 18,Fall 10,Fall 01,Spr 14,Fall 03,State,Spr 01,Sum 17,Win 18,Win 04,Fall 06,Rank,Win 17,Spr 10,Sum 04,Fall 08,Jan 18,Spr 08,Fall 16,Hispanic,Owner,Spr 12,Spr 11,Spr 02,Spr 07,Fall 17,Fall 00,Fall 14,Station,Market Name,Twitter Handles,Followers Count,Friends Count,Listed Count,Created At,Favourites Count,Verified,Statuses Count
0,,,,,,1-30-2018,Country,,,,,,,,,,144700,,7.5,,,8.7,http://www.keanradio.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,6.3,31500,Townsquare,,,,,9.3,,,KEAN-FM,Abilene,['kean105'],2030,1754,25,2010-11-08 20:22:46,191,False,10141
1,,,,,,1-30-2018,Classic Hits,,,,,,,,,,144700,,7.5,,,7.2,http://www.koolfmabilene.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,6.3,31500,Townsquare,,,,,7.9,,,KULL-FM,Abilene,['koolfmabilene'],576,473,11,2010-12-07 17:00:43,25,False,21834
2,,,,,,1-30-2018,Top 40/M,,,,,,,,,,144700,,6.8,,,7.2,http://www.power103.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,7.7,31500,Cumulus,,,,,6.6,,,KCDD-FM,Abilene,['Power103Abilene'],235,36,12,2009-12-17 09:53:19,1,False,12
3,,,,,,1-30-2018,Active Rock,,,,,,,,,,144700,,5.4,,,5.1,http://www.keyj.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,5.6,31500,Townsquare,,,,,6.6,,,KEYJ-FM,Abilene,['therock108'],2421,1970,40,2009-04-05 17:03:19,220,False,9999
4,,,,,,1-30-2018,Top 40/M,,,,,,,,,,144700,,5.4,,,4.3,http://www.qabilene.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,4.9,31500,Community Broadcast,,,,,5.3,,,KORQ-FM,Abilene,[''],,,,,,,
5,,,,,,1-30-2018,Country,,,,,,,,,,144700,,6.1,,,6.5,http://www.kbcy.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,6.3,31500,Cumulus,,,,,4.6,,,KBCY-FM,Abilene,['997KBCY'],476,29,4,2011-03-10 22:11:52,2,False,56
6,,,,,,1-30-2018,Classic Rock,,,,,,,,,,144700,,6.1,,,7.2,http://www.102thebear.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,9.2,31500,Cumulus,,,,,4.6,,,KHXS-FM,Abilene,[None],,,,,,,
7,,,,,,1-30-2018,AC,,,,,,,,,,144700,,4.1,,,2.9,http://www.my925abilene.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,3.5,31500,Townsquare,,,,,4.6,,,KMWX-FM,Abilene,[None],,,,,,,
8,,,,,,1-30-2018,Country,,,,,,,,,,144700,,2.7,,,3.6,http://wolfabilene.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,2.1,31500,Community Broadcast,,,,,2.6,,,KABW-FM,Abilene,[None],,,,,,,
9,,,,,,1-30-2018,Talk,,,,,,,,,,144700,,3.4,,,1.4,http://www.1470kyyw.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,3.5,31500,Townsquare,,,,,2.6,,,KYYW-AM,Abilene,['1470kyyw'],161,238,13,2012-01-06 03:22:00,0,False,19148
10,,,,,,1-30-2018,Classic Country,,,,,,,,,,144700,,1.4,,,0.7,http://www.1280ksli.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,0.7,31500,Townsquare,,,,,1.3,,,KSLI-AM,Abilene,['ksli1280'],361,136,15,2010-12-07 20:05:13,0,False,21840
11,,,,,,1-30-2018,Sports,,,,,,,,,,144700,,1.4,,,1.4,http://www.981theticket.com/,,,11500,,,,,,,TX,,,,,,234,,,,,,,1.4,31500,Cumulus,,,,,1.3,,,KTLT-FM,Abilene,[None],,,,,,,
12,,,,,,5-01-2018,Country,,,,,,,,,,608700,,5.3,,,,http://www.wqmx.com/,,,77900,,,,,,,OH,,7.7,6.3,,,83,,,,,,,,11700,Rubber City,,,,,5.1,,,WQMX-FM,Akron,['949WQMX'],13517,9937,84,2009-12-01 16:36:54,12353,False,26516
13,,,,,,5-01-2018,Talk,,,,,,,,,,608700,,4.6,,,,http://www.wnir.com/,,,77900,,,,,,,OH,,5.4,5.8,,,83,,,,,,,,11700,Media-Com,,,,,5.7,,,WNIR-FM,Akron,[None],,,,,,,
14,,,,,,5-01-2018,Classic Rock,,,,,,,,,,608700,,5.9,,,,http://www.wone.net/,,,77900,,,,,,,OH,,5.1,5.7,,,83,,,,,,,,11700,Rubber City,,,,,6.2,,,WONE-FM,Akron,['975wone'],2575,1564,28,2010-03-02 16:34:58,1139,False,15200
15,,,,,,5-01-2018,Hot AC,,,,,,,,,,608700,,3.4,,,,http://wkdd.iheart.com/,,,77900,,,,,,,OH,,3.6,4,,,83,,,,,,,,11700,iHeartMedia,,,,,3.4,,,WKDD-FM,Akron,['981wkdd'],6773,5637,123,2009-03-24 21:53:23,1643,False,148366
16,,,,,,5-01-2018,N/T,,,,,,,,,,608700,,1,,,,http://www.wakr.net/,,,77900,,,,,,,OH,,1.3,0.9,,,83,,,,,,,,11700,Rubber City,,,,,0.9,,,WAKR-AM,Akron,['1590WAKRNews'],,,,,,,
17,,,,,,5-01-2018,N/T,,,,,,,,,,608700,,1.5,,,,http://640whlo.iheart.com/,,,77900,,,,,,,OH,,0.7,0.8,,,83,,,,,,,,11700,iHeartMedia,,,,,1.2,,,WHLO-AM,Akron,['640whlo'],1324,1553,57,2010-06-23 18:40:36,43,False,47210
18,,,,,,1-24-2018,Urban,,,,,,,,,,131200,,18.9,,,25.4,http://www.wjiz.com/,,,68800,,,,,,,GA,,,,,,239,,,,,,,23.2,3900,iHeartMedia,,,,,21.7,,,WJIZ-FM,Albany,['wjiz'],1693,84,19,2009-04-04 07:42:30,1,False,23835
19,,,,,,1-24-2018,Urban AC,,,,,,,,,,131200,,12.8,,,13.9,http://www.kissalbany.com/,,,68800,,,,,,,GA,,,,,,239,,,,,,,14.3,3900,iHeartMedia,,,,,13.4,,,WMRZ-FM,Albany,['wmrz'],798,40,7,2009-04-04 07:29:40,0,False,11711
20,,,,,,1-24-2018,Country,,,,,,,,,,131200,,6.7,,,6.4,http://b100wobb.com/,,,68800,,,,,,,GA,,,,,,239,,,,,,,5.4,3900,iHeartMedia,,,,,7,,,WOBB-FM,Albany,['b100albany'],271,35,10,2011-02-15 20:27:26,0,False,17011
21,,,,,,1-24-2018,Classic Rock,,,,,,,,,,131200,,4.3,,,3.5,http://www.rock103albany.com/,,,68800,,,,,,,GA,,,,,,239,,,,,,,4.2,3900,Cumulus,,,,,4.5,,,WJAD-FM,Albany,[None],,,,,,,
